simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
644,48.672031066083946,713,2.8000000000000003,1000,422.19365922165514,44,980,1288,2
645,44.61246585937019,683,2.8000000000000003,1000,408.6652864687759,39,975,1290,2
646,46.69217128404648,689,2.8000000000000003,1000,409.66830139855597,39,975,1292,2
647,45.572009213918186,711,2.8000000000000003,1000,411.80297449726726,38,974,1294,2
648,48.49931809630189,682,2.8000000000000003,1000,410.6095034214916,41,977,1296,2
649,50.2171696478495,723,2.8000000000000003,1000,421.7626803032496,45,981,1298,2
650,46.177064636978926,728,2.8000000000000003,1000,412.87323311931164,37,973,1300,2
651,46.5707799288115,703,2.8000000000000003,1000,422.4727927479789,38,974,1302,2
652,47.25032250183243,723,2.8000000000000003,1000,411.96379209783396,50,986,1304,2
653,49.525983571131874,682,2.8000000000000003,1000,418.99471017852164,44,980,1306,2
654,45.942983647203924,702,2.8000000000000003,1000,407.26625364488984,34,970,1308,2
655,46.16095665443562,680,2.8000000000000003,1000,398.5181480651503,37,973,1310,2
656,49.3111463939223,767,2.8000000000000003,1000,438.8028114565469,62,998,1312,2
657,47.239089966228676,705,2.8000000000000003,1000,415.5499031210706,46,982,1314,2
658,48.6824924253419,687,2.8000000000000003,1000,423.4214632711129,46,982,1316,2
659,46.49511298701852,713,2.8000000000000003,1000,416.19452507788986,42,978,1318,2
660,45.6515730034055,688,2.8000000000000003,1000,419.52896993535495,36,972,1320,2
661,47.30994790958259,726,2.8000000000000003,1000,410.1737521759701,43,979,1322,2
662,48.35149410833149,703,2.8000000000000003,1000,429.06491770551105,44,980,1324,2
663,48.236628202356066,704,2.8000000000000003,1000,421.58086095390456,40,976,1326,2
664,45.80910184209979,687,2.8000000000000003,1000,409.95889602045753,41,977,1328,2
665,46.00078780398226,700,2.8000000000000003,1000,413.68484350862775,44,980,1330,2
666,47.694714593608275,673,2.8000000000000003,1000,413.1438738544799,41,977,1332,2
667,46.94656698428764,712,2.8000000000000003,1000,411.4140966047211,42,978,1334,2
668,47.25321943235751,693,2.8000000000000003,1000,411.3559904111413,45,981,1336,2
669,45.83809267730343,654,2.8000000000000003,1000,401.90406420669456,38,974,1338,2
670,46.322237044575374,652,2.8000000000000003,1000,410.1162068680431,36,972,1340,2
671,47.427713851500314,728,2.8000000000000003,1000,410.6947406879606,45,981,1342,2
672,45.26249016226958,721,2.8000000000000003,1000,410.7325857303759,45,981,1344,2
673,47.546488728233676,685,2.8000000000000003,1000,415.15327235568446,48,984,1346,2
674,46.55845797502353,696,2.8000000000000003,1000,426.21868308575085,47,983,1348,2
675,47.88415876102685,729,2.8000000000000003,1000,408.1740184764992,57,993,1350,2
676,46.4964325123472,742,2.8000000000000003,1000,404.4857880378804,36,972,1352,2
677,48.521995289384414,695,2.8000000000000003,1000,413.9404708888158,41,977,1354,2
678,46.99571327051128,707,2.8000000000000003,1000,424.10936854802435,54,990,1356,2
679,47.15152285355578,691,2.8000000000000003,1000,408.92821296387575,37,973,1358,2
680,47.75503665447972,702,2.8000000000000003,1000,410.9041693822705,44,980,1360,2
681,47.51202800861643,686,2.8000000000000003,1000,419.9698104920648,42,978,1362,2
682,46.19099518311567,709,2.8000000000000003,1000,413.8009877105355,35,971,1364,2
683,46.108826339719876,708,2.8000000000000003,1000,416.730346316559,43,979,1366,2
684,46.06549019869845,689,2.8000000000000003,1000,404.8377573537895,31,967,1368,2
685,45.22406927771637,707,2.8000000000000003,1000,410.95883529123705,46,982,1370,2
686,46.64043596535685,677,2.8000000000000003,1000,414.78782850131097,41,977,1372,2
687,46.26773026755999,701,2.8000000000000003,1000,413.8860190821341,51,987,1374,2
688,48.13014502942294,718,2.8000000000000003,1000,429.29753849046745,50,986,1376,2
689,48.73182746079982,717,2.8000000000000003,1000,418.19416492218005,46,982,1378,2
690,47.44816871737752,737,2.8000000000000003,1000,419.7730463869924,41,977,1380,2
691,46.338287563558055,694,2.8000000000000003,1000,420.78477311260866,48,984,1382,2
692,48.079221998480214,694,2.8000000000000003,1000,418.89240976588667,41,977,1384,2
693,46.88363652586253,698,2.8000000000000003,1000,409.940120549995,45,981,1386,2
694,47.20318066872761,709,2.8000000000000003,1000,407.92576046505417,39,975,1388,2
695,47.75570462269402,754,2.8000000000000003,1000,426.8597300567965,59,995,1390,2
696,46.46441904773569,707,2.8000000000000003,1000,406.6033223157892,40,976,1392,2
