,t,G1_cell_count,G2_cell_count
4928,6033.021591849031,18,9
4929,6033.05734819433,16,9
4930,6033.700031001565,18,8
4931,6034.378644698706,20,7
4932,6036.780496500236,22,6
4933,6037.268208736785,24,5
4934,6037.593315267051,26,4
4935,6038.794914469699,28,3
4936,6041.637710482406,30,2
4937,6042.713210857261,32,1
4938,6043.056472297959,34,0
4939,6044.707881776108,33,1
4940,6044.98794422878,32,2
4941,6055.723489844064,31,3
4942,6057.48465468525,30,4
4943,6058.577812705567,29,5
4944,6058.9776971360325,28,6
4945,6060.206254559767,27,7
4946,6060.585468832537,26,7
4947,6061.831706363298,25,8
4948,6063.5526801036,24,9
4949,6063.625665958018,23,10
4950,6064.944439900514,22,11
4951,6066.074416321352,21,12
4952,6069.935638848501,19,12
4953,6073.605942975899,18,12
4954,6073.703673868774,17,13
4955,6078.343142451403,16,14
4956,6079.43523242814,15,14
4957,6082.279476254742,14,15
4958,6083.4254888100595,13,15
4959,6083.452588880181,12,16
4960,6083.534678208002,11,17
4961,6083.778401269552,9,17
4962,6084.6715996348785,8,18
4963,6084.876680213619,7,18
4964,6085.175070291755,5,18
4965,6085.522523137753,3,18
4966,6085.599619938817,2,18
4967,6085.61094279884,0,18
4968,6094.707881776108,2,17
4969,6094.98794422878,4,16
4970,6105.723489844064,6,15
4971,6107.48465468525,8,14
4972,6108.577812705567,10,13
4973,6108.9776971360325,12,12
4974,6109.761798027456,10,12
4975,6110.206254559767,12,11
4976,6110.227311092174,10,11
4977,6111.831706363298,12,10
4978,6113.5526801036,14,9
4979,6113.625665958018,16,8
4980,6114.944439900514,18,7
4981,6116.074416321352,20,6
4982,6123.703673868774,22,5
4983,6128.343142451403,24,4
4984,6132.279476254742,26,3
4985,6133.452588880181,28,2
4986,6133.534678208002,30,1
4987,6134.6715996348785,32,0
4988,6140.4931706133075,31,1
4989,6140.785831687144,30,2
4990,6141.778726789002,29,3
4991,6150.763025471325,28,4
4992,6151.154861855852,27,5
4993,6152.383307146525,26,6
4994,6153.857982146672,25,7
4995,6158.870475953631,24,8
4996,6159.854477993168,23,9
4997,6160.481030274567,21,9
4998,6161.211922212679,20,10
4999,6161.971086161729,19,11
5000,6163.418994199159,18,12
5001,6163.781954040446,17,13
5002,6164.078351106224,16,13
5003,6164.599990211864,15,14
5004,6165.573155069431,14,14
5005,6165.862982960424,13,15
5006,6166.017808550325,12,15
5007,6166.831889273891,11,16
5008,6167.146179423248,10,16
5009,6171.100234510495,9,16
5010,6173.010896691407,8,17
5011,6173.797598372499,7,17
5012,6175.004699926803,6,17
5013,6175.7593783030425,5,17
5014,6175.91464320935,3,17
5015,6175.920970581475,2,17
5016,6175.96109722007,0,17
5017,6190.4931706133075,2,16
5018,6190.785831687144,4,15
5019,6191.778726789002,6,14
5020,6200.763025471325,8,13
5021,6201.154861855852,10,12
5022,6202.383307146525,12,11
5023,6203.857982146672,14,10
5024,6208.870475953631,16,9
5025,6209.854477993168,18,8
5026,6209.963185359856,16,8
5027,6210.755091794944,14,8
5028,6211.211922212679,16,7
5029,6211.971086161729,18,6
5030,6213.418994199159,20,5
5031,6213.582744489147,18,5
5032,6213.781954040446,20,4
5033,6214.599990211864,22,3
5034,6215.862982960424,24,2
5035,6216.831889273891,26,1
5036,6223.010896691407,28,0
5037,6234.186626379978,27,1
5038,6234.589034744025,26,2
5039,6239.216875181341,25,3
5040,6243.889804984333,24,4
5041,6243.961097459536,23,5
5042,6250.742514408671,22,6
5043,6250.820146092318,21,7
5044,6252.214751882785,20,8
5045,6252.401766961436,19,9
5046,6253.954982873334,18,10
5047,6254.537491557298,17,11
5048,6256.568760536998,16,12
5049,6256.605433803895,15,13
5050,6257.05377575337,14,14
5051,6259.278324408235,13,15
5052,6260.061727315837,12,15
5053,6260.390631777721,11,16
5054,6260.60811577865,10,17
5055,6261.576345845185,9,17
5056,6262.660665698234,8,17
5057,6263.720787741457,7,18
5058,6266.763039510644,5,18
5059,6267.519921773296,4,18
5060,6267.603218487687,3,19
5061,6267.612052146536,1,19
5062,6268.2273600368735,0,19
5063,6284.186626379978,2,18
5064,6284.589034744025,4,17
5065,6289.216875181341,6,16
